gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
887045874	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/32fc35c3a-79a4-407f-970e-49c9245f06a8	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-05-22T01:00Z	22	5	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	538987.7406654	25540		CC_BY_NC_4_0		C. Kepler & Anderson			2016-08-04T02:00Z		
887045902	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3652828c8-6491-461f-a4e4-d3526ddad751	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-06-27T01:00Z	27	6	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	539065.7406732	25640		CC_BY_NC_4_0		C. Kepler & Heryford			2016-08-04T02:00Z		
887045925	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/37b4ee05b-20cc-4c6d-8088-276034c0c5a7	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-07-24T01:00Z	24	7	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	539089.7406756	25669		CC_BY_NC_4_0		Heryford & Woodward			2016-08-04T02:00Z		
887045961	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3382e9594-eb64-4e3a-8c3e-0c542081fd10	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-10-18T01:00Z	18	10	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	539180.7406847	25777		CC_BY_NC_4_0		Lewis			2016-08-04T02:00Z		
887045977	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/360a9257d-56ff-40cf-8fe9-23e834e5141b	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-08-26T01:00Z	26	8	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	539108.7406775	25690		CC_BY_NC_4_0		Woodward			2016-08-04T02:00Z		
887046016	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3dbaf2aec-c910-4b91-ae35-f4ce9da4853b	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-07-19T01:00Z	19	7	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	539070.7406737	25649		CC_BY_NC_4_0		Heryford & Woodward			2016-08-04T02:00Z		
887046052	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3756b4967-2510-4085-8777-b1563c289be3	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-12-04T01:00Z	4	12	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	539252.7406919	25875		CC_BY_NC_4_0		C. Kepler			2016-08-04T02:00Z		
887046054	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3940cc386-52af-420f-a4a1-f0ef3f714ab2	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-07-20T01:00Z	20	7	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	539078.7406745	25657		CC_BY_NC_4_0		Heryford & Woodward			2016-08-04T02:00Z		
887046101	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3c88f3a9f-fcb8-492f-af38-9670e2dcaa37	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1965-08-29T01:00Z	29	8	1965	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	539138.7406805	25724		CC_BY_NC_4_0		Woodward			2016-08-04T02:00Z		
887046104	5df38344-b821-49c2-8174-cf0f29f4df0d	http://n2t.net/ark:/65665/3afdecfcf-6847-4981-bb9c-1e45d7f047e0	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus subsp. castaneus Waterhouse, 1843	UM		bc092ff0-02e4-11dc-991f-b8a03c50a862									1966-01-09T01:00Z	9	1	1966	4264890	2438780	PRESERVED_SPECIMEN	USNM	Mammals	539295.7406962	25946		CC_BY_NC_4_0		R. Maze			2016-08-04T02:00Z		
